county,event,target_rate,achieved_p,v1_role,v1_col,v1_tail,v1_pct,v1_threshold,v2_role,v2_col,v2_tail,v2_pct,v2_threshold,reachable
Bristol,hot_wet,0.025,0.025735797399041752,hot,tmmx_C,high,83.0,26.586011,wet,rh_mean,high,84.0,74.221572,True
Bristol,hot_wet,0.05,0.049418206707734426,hot,tmmx_C,high,79.0,25.581964000000003,wet,rh_mean,high,79.0,71.868895,True
Bristol,hot_wet,0.075,0.07337440109514032,hot,tmmx_C,high,76.0,24.734688000000002,wet,rh_mean,high,75.0,70.33612500000001,True
Bristol,cold_windy,0.025,0.02511978097193703,cold,tmmn_C,low,9.0,-5.829647,windy,vs_2m,high,91.0,6.302242000000001,True
Bristol,cold_windy,0.05,0.049281314168377825,cold,tmmn_C,low,15.0,-3.294515,windy,vs_2m,high,87.0,5.807098,True
Bristol,cold_windy,0.075,0.07385352498288843,cold,tmmn_C,low,18.0,-2.3690420000000008,windy,vs_2m,high,81.0,5.283816,True
Bristol,cold_wet,0.025,0.02505133470225873,cold,tmmn_C,low,26.0,-0.5234899999999998,wet,rh_mean,high,80.0,72.3802,True
Bristol,cold_wet,0.05,0.04900752908966461,cold,tmmn_C,low,32.0,0.8609800000000004,wet,rh_mean,high,72.0,69.23963599999999,True
Bristol,cold_wet,0.075,0.0754277891854894,cold,tmmn_C,low,38.0,2.419484,wet,rh_mean,high,67.0,67.48146899999999,True
Bristol,hot,0.025,0.025,hot,tmmx_C,high,2.5,-1.3733775,,,,,,True
Bristol,hot,0.05,0.05,hot,tmmx_C,high,5.0,0.64687,,,,,,True
Bristol,hot,0.075,0.075,hot,tmmx_C,high,7.5,1.9722674999999998,,,,,,True
Bristol,cold,0.025,0.025,cold,tmmn_C,low,97.5,21.260297499999997,,,,,,True
Bristol,cold,0.05,0.05,cold,tmmn_C,low,95.0,20.067529999999998,,,,,,True
Bristol,cold,0.075,0.075,cold,tmmn_C,low,92.5,19.0986625,,,,,,True
Bristol,wet,0.025,0.025,wet,rh_mean,high,2.5,37.173505,,,,,,True
Bristol,wet,0.05,0.05,wet,rh_mean,high,5.0,40.883775,,,,,,True
Bristol,wet,0.075,0.075,wet,rh_mean,high,7.5,43.5856875,,,,,,True
Bristol,windy,0.025,0.025,windy,vs_2m,high,2.5,1.5798,,,,,,True
Bristol,windy,0.05,0.05,windy,vs_2m,high,5.0,1.802735,,,,,,True
Bristol,windy,0.075,0.075,windy,vs_2m,high,7.5,1.970505,,,,,,True
Kent,hot_wet,0.025,0.024777549623545517,hot,tmmx_C,high,85.0,26.953985,wet,rh_mean,high,84.0,73.170936,True
Kent,hot_wet,0.05,0.05010266940451746,hot,tmmx_C,high,81.0,25.965828000000002,wet,rh_mean,high,79.0,70.857722,True
Kent,hot_wet,0.075,0.07337440109514032,hot,tmmx_C,high,76.0,24.584928,wet,rh_mean,high,77.0,70.06169,True
Kent,cold_windy,0.025,0.02457221081451061,cold,tmmn_C,low,10.0,-6.83969,windy,vs_2m,high,92.0,5.879104000000001,True
Kent,cold_windy,0.05,0.05017111567419576,cold,tmmn_C,low,14.0,-5.109502,windy,vs_2m,high,85.0,5.138895,True
Kent,cold_windy,0.075,0.07419575633127995,cold,tmmn_C,low,19.0,-3.502808,windy,vs_2m,high,81.0,4.844603000000001,True
Kent,cold_wet,0.025,0.02546201232032854,cold,tmmn_C,low,24.0,-2.304764,wet,rh_mean,high,75.0,69.332325,True
Kent,cold_wet,0.05,0.050308008213552365,cold,tmmn_C,low,30.0,-0.9036200000000002,wet,rh_mean,high,67.0,66.38332700000001,True
Kent,cold_wet,0.075,0.07631759069130732,cold,tmmn_C,low,39.0,1.498355,wet,rh_mean,high,65.0,65.712845,True
Kent,hot,0.025,0.025,hot,tmmx_C,high,2.5,-2.1238424999999994,,,,,,True
Kent,hot,0.05,0.05,hot,tmmx_C,high,5.0,0.02133000000000061,,,,,,True
Kent,hot,0.075,0.075,hot,tmmx_C,high,7.5,1.3350549999999999,,,,,,True
Kent,cold,0.025,0.025,cold,tmmn_C,low,97.5,20.214912499999997,,,,,,True
Kent,cold,0.05,0.05,cold,tmmn_C,low,95.0,19.019384999999996,,,,,,True
Kent,cold,0.075,0.075,cold,tmmn_C,low,92.5,18.149470000000008,,,,,,True
Kent,wet,0.025,0.025,wet,rh_mean,high,2.5,35.551480000000005,,,,,,True
Kent,wet,0.05,0.05,wet,rh_mean,high,5.0,39.358775,,,,,,True
Kent,wet,0.075,0.075,wet,rh_mean,high,7.5,41.87447,,,,,,True
Kent,windy,0.025,0.025,windy,vs_2m,high,2.5,1.51629,,,,,,True
Kent,windy,0.05,0.05,windy,vs_2m,high,5.0,1.704925,,,,,,True
Kent,windy,0.075,0.075,windy,vs_2m,high,7.5,1.8537024999999998,,,,,,True
Newport,hot_wet,0.025,0.02402464065708419,hot,tmmx_C,high,85.0,25.89609,wet,rh_mean,high,86.0,78.522774,True
Newport,hot_wet,0.05,0.05167693360711841,hot,tmmx_C,high,82.0,25.163566,wet,rh_mean,high,79.0,75.442353,True
Newport,hot_wet,0.075,0.0759069130732375,hot,tmmx_C,high,76.0,23.684524,wet,rh_mean,high,78.0,75.054402,True
Newport,cold_windy,0.025,0.025735797399041752,cold,tmmn_C,low,9.0,-5.339561,windy,vs_2m,high,91.0,6.8433090000000005,True
Newport,cold_windy,0.05,0.05010266940451746,cold,tmmn_C,low,12.0,-3.96002,windy,vs_2m,high,84.0,6.011392,True
Newport,cold_windy,0.075,0.07501711156741958,cold,tmmn_C,low,20.0,-1.39622,windy,vs_2m,high,83.0,5.905816999999999,True
Newport,cold_wet,0.025,0.024777549623545517,cold,tmmn_C,low,31.0,1.137943,wet,rh_mean,high,80.0,75.88324,True
Newport,cold_wet,0.05,0.04921286789869952,cold,tmmn_C,low,36.0,2.384168,wet,rh_mean,high,71.0,72.374364,True
Newport,cold_wet,0.075,0.07583846680355921,cold,tmmn_C,low,41.0,3.811355999999999,wet,rh_mean,high,65.0,70.33474,True
Newport,hot,0.025,0.025,hot,tmmx_C,high,2.5,-1.2101874999999997,,,,,,True
Newport,hot,0.05,0.05,hot,tmmx_C,high,5.0,0.843135,,,,,,True
Newport,hot,0.075,0.075,hot,tmmx_C,high,7.5,2.1087825,,,,,,True
Newport,cold,0.025,0.025,cold,tmmn_C,low,97.5,21.1424975,,,,,,True
Newport,cold,0.05,0.05,cold,tmmn_C,low,95.0,19.967349999999996,,,,,,True
Newport,cold,0.075,0.075,cold,tmmn_C,low,92.5,19.079825,,,,,,True
Newport,wet,0.025,0.025,wet,rh_mean,high,2.5,40.321245,,,,,,True
Newport,wet,0.05,0.05,wet,rh_mean,high,5.0,43.9195,,,,,,True
Newport,wet,0.075,0.075,wet,rh_mean,high,7.5,46.6016525,,,,,,True
Newport,windy,0.025,0.025,windy,vs_2m,high,2.5,1.5820675000000002,,,,,,True
Newport,windy,0.05,0.05,windy,vs_2m,high,5.0,1.834625,,,,,,True
Newport,windy,0.075,0.075,windy,vs_2m,high,7.5,2.0196349999999996,,,,,,True
Providence,hot_wet,0.025,0.025256673511293636,hot,tmmx_C,high,85.0,26.91561,wet,rh_mean,high,84.0,72.929288,True
Providence,hot_wet,0.05,0.04976043805612594,hot,tmmx_C,high,82.0,26.134338,wet,rh_mean,high,78.0,70.23645400000001,True
Providence,hot_wet,0.075,0.07522245037645449,hot,tmmx_C,high,75.0,24.214925,wet,rh_mean,high,77.0,69.781989,True
Providence,cold_windy,0.025,0.025256673511293636,cold,tmmn_C,low,10.0,-7.1423,windy,vs_2m,high,91.0,5.266199000000001,True
Providence,cold_windy,0.05,0.04900752908966461,cold,tmmn_C,low,16.0,-4.59668,windy,vs_2m,high,86.0,4.794022,True
Providence,cold_windy,0.075,0.07412731006160164,cold,tmmn_C,low,20.0,-3.3856399999999995,windy,vs_2m,high,80.0,4.375400000000002,True
Providence,cold_wet,0.025,0.024709103353867213,cold,tmmn_C,low,24.0,-2.4218560000000005,wet,rh_mean,high,77.0,69.781989,True
Providence,cold_wet,0.05,0.05010266940451746,cold,tmmn_C,low,31.0,-0.7602310000000001,wet,rh_mean,high,69.0,66.649447,True
Providence,cold_wet,0.075,0.07371663244353183,cold,tmmn_C,low,39.0,1.263255,wet,rh_mean,high,66.0,65.585768,True
Providence,hot,0.025,0.025,hot,tmmx_C,high,2.5,-2.522795,,,,,,True
Providence,hot,0.05,0.05,hot,tmmx_C,high,5.0,-0.2857849999999997,,,,,,True
Providence,hot,0.075,0.075,hot,tmmx_C,high,7.5,1.05654,,,,,,True
